y,U_0,U_1,U_2
0,7.9994015519,0,0
2.5250501002,8.00366335074,5.17044437686e-08,-4.00783996271e-05
5.0501002004,8.00721740696,1.47409591492e-06,-8.74046250622e-05
7.5751503006,8.01076595753,2.92301716813e-06,-0.000134644228105
10.1002004008,8.01423625443,4.63716755957e-06,-0.000181849573423
12.625250501,8.01742915702,7.8127190059e-06,-0.000229111961823
15.1503006012,8.02086592079,1.08717514682e-05,-0.000278338213001
17.6753507014,8.02386146684,1.36353464879e-05,-0.000331507260362
20.2004008016,8.02684944049,1.64451654357e-05,-0.000384842397345
22.7254509018,8.02965553363,1.91194008749e-05,-0.000438011383793
25.250501002,8.03248860808,2.16440074063e-05,-0.00049067798968
27.7755511022,8.03526297024,2.4025744696e-05,-0.000545345284131
30.3006012024,8.03778618278,2.62692610446e-05,-0.000601542517797
32.8256513026,8.04030195359,2.8559157918e-05,-0.000657952973155
35.3507014028,8.04251942712,3.05990748915e-05,-0.000713132938649
37.875751503,8.04501916271,3.2641579784e-05,-0.000767165732887
40.4008016032,8.04719820578,3.41774286609e-05,-0.000822722443337
42.9258517034,8.04928603945,3.56278991522e-05,-0.000878662926399
45.4509018036,8.05136873103,3.71088614035e-05,-0.00093472719394
47.9759519038,8.05303527235,3.78346316936e-05,-0.000988005743238
50.501002004,8.05520028898,3.8610809276e-05,-0.00104024854991
53.0260521042,8.0569035449,3.89301078842e-05,-0.00109317711163
55.5511022044,8.05860207332,3.92753960253e-05,-0.00114617908911
58.0761523046,8.06023368666,3.95297688937e-05,-0.0011986726149
60.6012024048,8.06160842393,3.91418708368e-05,-0.00124747298733
63.126252505,8.06328675705,3.87297829457e-05,-0.00129560633156
65.6513026052,8.06465348878,3.80751951805e-05,-0.00134374914753
68.1763527054,8.06601403707,3.74513482834e-05,-0.0013919273882
70.7014028056,8.06719733297,3.65773446454e-05,-0.00143837090303
73.2264529058,8.06839839428,3.53051199204e-05,-0.00148155330831
75.751503006,8.06966120796,3.39416588133e-05,-0.00152400787954
78.2765531062,8.07074333392,3.25100358336e-05,-0.00156630496483
80.8016032064,8.07181961775,3.11038272317e-05,-0.00160857737763
83.3266533066,8.07261413364,2.94265209444e-05,-0.00164792719909
85.8517034068,8.07370326269,2.74940512178e-05,-0.00168476325654
88.376753507,8.07462053484,2.55258817789e-05,-0.00172089355245
90.9018036072,8.07546837525,2.35653347358e-05,-0.00175691332194
93.4268537074,8.07631243842,2.16185694573e-05,-0.00179288056669
95.9519038076,8.07677818454,1.95181730454e-05,-0.00182498073876
98.4769539078,8.07778129951,1.7103333126e-05,-0.00185527705473
101.002004008,8.07844520564,1.48182670829e-05,-0.00188515254408
103.527054108,8.07910599752,1.25420733006e-05,-0.00191495579336
106.052104208,8.07971200485,1.0281767742e-05,-0.00194420912153
108.577154309,8.08010376034,7.97539579843e-06,-0.00196970006499
111.102204409,8.08086723735,5.36777964722e-06,-0.00199398283993
113.627254509,8.08138637101,2.93651730513e-06,-0.00201808764369
116.152304609,8.08190174023,5.1247802311e-07,-0.00204207147408
118.677354709,8.08226795239,-1.79527405339e-06,-0.0020647869376
121.20240481,8.08269216624,-4.24281090254e-06,-0.00208463315062
123.72745491,8.08324977566,-6.85401276812e-06,-0.00210357896984
126.25250501,8.08365877727,-9.31781723185e-06,-0.00212248992407
128.77755511,8.08406444143,-1.17789269819e-05,-0.00214126455017
131.30260521,8.08423365494,-1.39301342394e-05,-0.00215839303644
133.827655311,8.08472459441,-1.65314448225e-05,-0.00217315002293
136.352705411,8.08511263302,-1.90397253767e-05,-0.00218753841731
138.877755511,8.08543998418,-2.14770342589e-05,-0.00220190755229
141.402805611,8.0857653451,-2.39154415775e-05,-0.00221617813016
143.927855711,8.08577270977,-2.57885706401e-05,-0.00222875034025
146.452905812,8.08633295446,-2.85685986781e-05,-0.00223902218387
148.977955912,8.08660348339,-3.09619090544e-05,-0.00224962118715
151.503006012,8.08687254752,-3.33585087807e-05,-0.00226013465689
154.028056112,8.08709885038,-3.56670059489e-05,-0.00227043704788
156.553106212,8.08715448533,-3.75672519898e-05,-0.00227907987566
159.078156313,8.08760715202,-4.02596140711e-05,-0.00228607025328
161.603206413,8.08783788759,-4.26265508378e-05,-0.00229348763491
164.128256513,8.08806698181,-4.50006966955e-05,-0.00230079376527
166.653306613,8.08817024438,-4.70664328179e-05,-0.00230782513699
169.178356713,8.08835522047,-4.92259424251e-05,-0.00231320670447
171.703406814,8.08869941596,-5.18222015596e-05,-0.00231766586592
174.228456914,8.0889041422,-5.42030286563e-05,-0.0023224650422
176.753507014,8.08910749344,-5.65937086785e-05,-0.00232715679997
179.278557114,8.08910528105,-5.84296967204e-05,-0.00233174489901
181.803607214,8.08943098711,-6.09719986959e-05,-0.00233427463767
184.328657315,8.08967955495,-6.35133392198e-05,-0.00233679451032
186.853707415,8.08986870814,-6.59628469135e-05,-0.00233945801993
189.378757515,8.09005709988,-6.84206103948e-05,-0.00234205292545
191.903807615,8.08996231756,-7.00658780008e-05,-0.00234488879165
194.428857715,8.09041727429,-7.30794522735e-05,-0.00234498070452
196.953907816,8.09059939487,-7.56488778806e-05,-0.00234598598624
199.478957916,8.09078101414,-7.82262736051e-05,-0.00234693869331
202.004008016,8.09092702411,-8.07037000422e-05,-0.0023479254847
204.529058116,8.09091807919,-8.26724763167e-05,-0.00234884397052
207.054108216,8.0913163862,-8.58127359753e-05,-0.00234767395728
209.579158317,8.09149693815,-8.85660034211e-05,-0.00234733170818
212.104208417,8.09167697422,-9.13312726954e-05,-0.00234692511094
214.629258517,8.09174263282,-9.37453910615e-05,-0.00234684936925
217.154308617,8.09189398641,-9.63472877258e-05,-0.00234591439482
219.679358717,8.0922164842,-9.9601677113e-05,-0.00234393923025
222.204408818,8.09239972742,-0.000102596811748,-0.00234252708633
224.729458918,8.09258257578,-0.00010560578744,-0.00234105381427
227.254509018,8.09257325375,-0.000108003720461,-0.00234031551926
229.779559118,8.09288826048,-0.00011134968484,-0.00233770588856
232.304609218,8.0931385487,-0.000114756577554,-0.00233520260818
234.829659319,8.09332757326,-0.000118046983562,-0.00233294396857
237.354709419,8.09351641184,-0.00012134803471,-0.0023306464042
239.879759519,8.09343574655,-0.00012376843808,-0.00232956006527
242.404809619,8.09390030594,-0.000127928051972,-0.00232550267457
244.929859719,8.09409745764,-0.000131545290487,-0.00232262305774
247.45490982,8.09429452293,-0.000135172427025,-0.00231971356805
249.97995992,8.0944602242,-0.000138701292666,-0.00231694000868
252.50501002,8.0944698483,-0.000141701332186,-0.0023149028461
255.03006012,8.09489675094,-0.000146194878469,-0.00231052142935
257.55511022,8.09510339528,-0.000150169740246,-0.00230716909964
260.080160321,8.09531000953,-0.000154160759869,-0.00230377691916
262.605210421,8.09540741863,-0.000157772065162,-0.00230097732125
265.130260521,8.09558614088,-0.000161682816992,-0.0022977286398
267.655310621,8.09594572414,-0.000166394762351,-0.00229336862066
270.180360721,8.09616265038,-0.000170730655815,-0.00228969666924
272.705410822,8.09637964879,-0.000175088857432,-0.00228598027831
275.230460922,8.09640956486,-0.000178755327015,-0.00228336847718
277.755511022,8.0967584544,-0.000183643131018,-0.00227902975748
280.280561122,8.09705046576,-0.000188498596677,-0.00227488048636
282.805611222,8.09727779356,-0.00019316564692,-0.0022710422576
285.330661323,8.09750526524,-0.000197854252207,-0.00226716949518
287.855711423,8.09746746168,-0.000201491339387,-0.00226496100105
290.380761523,8.09797324406,-0.000207346023003,-0.00225975052907
292.905811623,8.09820998854,-0.000212227855761,-0.00225596420576
295.430861723,8.09844695362,-0.000217134750016,-0.00225214530728
297.955911824,8.09865575038,-0.000221937677285,-0.00224848978114
300.480961924,8.09870014951,-0.000226029872734,-0.00224605630214
303.006012024,8.09917348576,-0.000231982841882,-0.00224123656977
305.531062124,8.09941752969,-0.000236894587309,-0.00223772729943
308.056112224,8.09966210042,-0.000241858434721,-0.00223416196208
310.581162325,8.09979975654,-0.000246310471286,-0.00223133836958
313.106212425,8.10001145152,-0.00025108156547,-0.00222840720584
315.631262525,8.10041038546,-0.000256555969427,-0.00222454894364
318.156312625,8.10065756497,-0.000261158656648,-0.0022216369717
320.681362725,8.10090571316,-0.000265849170956,-0.00221864475539
323.206412826,8.10096686737,-0.000269478487761,-0.00221705917701
325.731462926,8.1013425456,-0.000274663605486,-0.00221397190979
328.256513026,8.10165746074,-0.000278917437887,-0.00221160977131
330.781563126,8.10190072681,-0.000282673206984,-0.00220972211302
333.306613226,8.10214510503,-0.000286522868574,-0.00220775979993
335.831663327,8.1021202078,-0.000288547910886,-0.00220797757929
338.356713427,8.10264138745,-0.000293539274569,-0.00220530718838
340.881763527,8.10286744802,-0.000295480974279,-0.00220512754479
343.406813627,8.10309488002,-0.000297530411588,-0.00220487176685
345.931863727,8.1032969971,-0.000299446712082,-0.00220478766121
348.456913828,8.10331568883,-0.000299586599299,-0.00220669704528
350.981963928,8.10377075091,-0.000301743634538,-0.00220655153046
353.507014028,8.1039602843,-0.000300587604685,-0.00220889318474
356.032064128,8.10415277578,-0.000299645964258,-0.00221109799262
358.557114228,8.1042351354,-0.000297617725829,-0.00221433545736
361.082164329,8.10437460047,-0.000295137381106,-0.00221815334951
363.607214429,8.10468345478,-0.000291901549653,-0.00222210986041
366.132264529,8.10480602584,-0.000285780399386,-0.00222808186599
368.657314629,8.10493365588,-0.0002799929599,-0.00223385941426
371.182364729,8.10485901928,-0.000271629021657,-0.00224176429663
373.70741483,8.10508531399,-0.000264517820019,-0.00224866739322
376.23246493,8.10519094205,-0.000252647217881,-0.00225851282788
378.75751503,8.10520228828,-0.000239109260125,-0.00226948571688
381.28256513,8.10521888533,-0.000225880739227,-0.00228029343597
383.80761523,8.1049300655,-0.000207898749602,-0.00229457960452
386.332665331,8.10517744753,-0.000193046600667,-0.00230620683184
388.857715431,8.10500717432,-0.000168603001727,-0.00232400880843
391.382765531,8.10484245146,-0.000144444053421,-0.0023416726711
393.907815631,8.10465412126,-0.000119999799803,-0.00235956186358
396.432865731,8.10420754005,-8.94949405751e-05,-0.00238124382412
398.957915832,8.10415809271,-5.94167331495e-05,-0.00240185865886
401.482965932,8.1037171222,-2.03601999707e-05,-0.00242828462902
404.008016032,8.103286554,1.82504237683e-05,-0.00245451977388
406.533066132,8.10271956944,5.9665647483e-05,-0.00248240549556
409.058116232,8.10212149437,0.000105689251873,-0.00251229151068
411.583166333,8.10157950328,0.000156750177293,-0.00254470601868
414.108216433,8.10074828734,0.000214547647079,-0.00258154902128
416.633266533,8.09993238098,0.000271834081968,-0.00261821667573
419.158316633,8.09884093396,0.000335362605695,-0.00265810191154
421.683366733,8.09793909738,0.000401870389583,-0.00269789538335
424.208416834,8.09672221328,0.000478936646478,-0.00274418004585
426.733466934,8.09535441506,0.000559358406901,-0.00279279996685
429.258517034,8.09399962649,0.000639490690426,-0.00284137126234
431.783567134,8.09219824802,0.000729918891319,-0.00289451323726
434.308617234,8.09078221844,0.000822112557625,-0.00294550850931
436.833667335,8.08869021699,0.000928444394596,-0.00300639063385
439.358717435,8.08660864695,0.00103469032926,-0.00306733075444
441.883767535,8.08449801306,0.0011416984135,-0.00312861886397
444.408817635,8.08187908454,0.00126178007827,-0.00319393632131
446.933867735,8.07944555714,0.00138631323431,-0.00325896696226
449.458917836,8.07643687582,0.0015198514646,-0.00333116971288
451.983967936,8.07344258753,0.0016535611743,-0.00340363370472
454.509018036,8.07023568968,0.0017915282657,-0.00347716628366
457.034068136,8.06669199778,0.00194064632155,-0.00355167562697
459.559118236,8.06295286716,0.0020964181927,-0.00362858594129
462.084168337,8.05882191202,0.00225621278209,-0.00370955750901
464.609218437,8.05470475264,0.00241669608374,-0.00379108184627
467.134268537,8.05015319445,0.00258392593115,-0.00387293173767
469.659318637,8.04540925351,0.00276115663161,-0.00395321055517
472.184368737,8.04014847917,0.00294260368905,-0.00403728642347
474.709418838,8.03469874902,0.00312498960913,-0.00412309833236
477.234468938,8.02925363269,0.00330830271629,-0.00420946817672
479.759519038,8.02312577149,0.00349864419279,-0.00429350161716
482.284569138,8.01690763999,0.0036994342163,-0.00437457783555
484.809619238,8.00997111721,0.00389622136691,-0.00445978337546
487.334669339,8.00303145976,0.00409401043755,-0.00454546083017
489.859719439,7.99604304243,0.00429285636209,-0.00463120864521
492.384769539,7.98819946846,0.0044965234007,-0.00471008853332
494.909819639,7.9801394718,0.00470687759354,-0.00478745355558
497.434869739,7.97161844351,0.00490705462622,-0.00486738516028
499.95991984,7.96307952086,0.00510913556234,-0.00494800652154
502.48496994,7.9542715502,0.00531033608743,-0.00502572694754
505.01002004,7.94474978435,0.00551367287601,-0.00509487481482
507.53507014,7.93486789271,0.00571356290827,-0.00516404247564
510.06012024,7.92476923068,0.00590188405641,-0.00523521261502
512.585170341,7.91462723502,0.00609299312014,-0.00530713078712
515.110220441,7.90404896923,0.00627596753405,-0.00537203109343
517.635270541,7.89284254909,0.00646180372342,-0.00542848590223
520.160320641,7.88136898565,0.00662794288981,-0.00548812558765
522.685370741,7.86983591293,0.00678651166148,-0.00554947241668
525.210420842,7.85825325654,0.00694725225099,-0.00561123540214
527.735470942,7.8461815617,0.0070870876996,-0.00566216556393
530.260521042,7.83346337871,0.00723514726621,-0.00570575622978
532.785571142,7.82087278398,0.00734260091225,-0.00575827785503
535.310621242,7.80823583853,0.00745129706135,-0.00581103340973
537.835671343,7.79554147265,0.00755972060441,-0.0058634373687
540.360721443,7.78242825941,0.00763429155235,-0.00590282803505
542.885771543,7.76882859318,0.00770968151007,-0.0059400452802
545.410821643,7.75568564353,0.00774806002348,-0.00598700883072
547.935871743,7.74245953813,0.00778799971289,-0.00603416794096
550.460921844,7.72922350021,0.00781489457968,-0.0060783813863
552.985971944,7.71568191859,0.00781401873568,-0.00611235329355
555.511022044,7.70211566348,0.0077961992149,-0.00614924646136
558.036072144,7.68907709188,0.00775215603766,-0.00619381518592
560.561122244,7.67592256854,0.00770908565939,-0.00623861777219
563.086172345,7.66303028405,0.00763811641016,-0.00627932288495
565.611222445,7.64972905388,0.00755082117398,-0.00631107219916
568.136272545,7.63713981544,0.00743125430879,-0.00635098867473
570.661322645,7.62489899182,0.00729866514013,-0.00639495939045
573.186372745,7.61257224741,0.00716587021657,-0.00643915385944
575.711422846,7.60097576121,0.00699193536898,-0.00647920226383
578.236472946,7.588619363,0.00681554575584,-0.00650959915805
580.761523046,7.57790834088,0.00659771138741,-0.00655190135849
583.286573146,7.56716808029,0.00637849117122,-0.0065945811416
585.811623246,7.55641984749,0.00615692906147,-0.00663732762333
588.336673347,7.54681138063,0.00588976486413,-0.00667493971026
590.861723447,7.53668676925,0.00562147446108,-0.00670555568005
593.386773547,7.52812703307,0.00532776835693,-0.00674350560863
595.911823647,7.51950273095,0.00503199809757,-0.00678178103994
598.436873747,7.51132738982,0.00472434493223,-0.0068192501156
600.961923848,7.50390559268,0.00438991105722,-0.00684996886141
603.486973948,7.49680349403,0.00404878291641,-0.0068761305258
606.012024048,7.49083711388,0.00369686036617,-0.00690510250248
608.537074148,7.48481133509,0.00334134036411,-0.0069344461729
611.062124248,7.47980730638,0.00297049248539,-0.00696219690012
613.587174349,7.47495455977,0.00258791594887,-0.00698080535127
616.112224449,7.47128694113,0.00220131690429,-0.00699610382066
618.637274549,7.46821871101,0.00181173794843,-0.00701192121688
621.162324649,7.46512758963,0.0014190425952,-0.00702790135079
623.687374749,7.46367387335,0.00101376019483,-0.00704199257213
626.21242485,7.46162139269,0.000605742341159,-0.00704444558492
628.73747495,7.46157051004,0.000204574987664,-0.00704445719748
